CMDLINE python aliengo_stepping_stones.py
MEM 1.449219 1608254667.2629
MEM 9.406250 1608254667.2824
MEM 17.718750 1608254667.2994
MEM 20.140625 1608254667.3164
MEM 23.667969 1608254667.3337
MEM 29.171875 1608254667.3508
MEM 56.015625 1608254667.3671
MEM 116.027344 1608254667.3857
MEM 139.234375 1608254667.4051
MEM 143.730469 1608254667.4241
MEM 153.320312 1608254667.4432
MEM 153.320312 1608254667.4614
MEM 154.972656 1608254667.4799
MEM 156.777344 1608254667.4983
MEM 157.808594 1608254667.5166
MEM 159.097656 1608254667.5350
MEM 161.675781 1608254667.5534
MEM 162.191406 1608254667.5716
MEM 163.480469 1608254667.5896
MEM 164.769531 1608254667.6074
MEM 166.058594 1608254667.6222
MEM 167.089844 1608254667.6404
MEM 168.378906 1608254667.6590
MEM 171.730469 1608254667.6778
MEM 171.988281 1608254667.6964
MEM 173.277344 1608254667.7146
MEM 174.566406 1608254667.7324
MEM 175.855469 1608254667.7506
MEM 177.144531 1608254667.7709
MEM 178.433594 1608254667.7881
MEM 179.722656 1608254667.8063
MEM 181.011719 1608254667.8244
MEM 182.300781 1608254667.8426
MEM 183.589844 1608254667.8608
MEM 184.878906 1608254667.8793
MEM 191.324219 1608254667.8972
MEM 191.324219 1608254667.9149
MEM 191.324219 1608254667.9295
MEM 191.582031 1608254667.9477
MEM 192.871094 1608254667.9657
MEM 194.160156 1608254667.9838
MEM 195.449219 1608254668.0020
MEM 196.738281 1608254668.0208
MEM 198.027344 1608254668.0394
MEM 199.316406 1608254668.0572
MEM 200.605469 1608254668.0754
MEM 201.894531 1608254668.0929
MEM 203.183594 1608254668.1106
MEM 204.472656 1608254668.1272
MEM 205.503906 1608254668.1452
MEM 206.792969 1608254668.1634
MEM 208.082031 1608254668.1811
MEM 209.371094 1608254668.1994
MEM 210.660156 1608254668.2176
MEM 211.949219 1608254668.2360
MEM 213.238281 1608254668.2540
MEM 214.527344 1608254668.2717
MEM 215.816406 1608254668.2862
MEM 216.847656 1608254668.3044
MEM 218.136719 1608254668.3224
MEM 230.769531 1608254668.3402
MEM 230.769531 1608254668.3555
MEM 230.769531 1608254668.3739
MEM 230.769531 1608254668.3922
MEM 230.769531 1608254668.4105
MEM 230.769531 1608254668.4286
MEM 230.769531 1608254668.4470
MEM 231.542969 1608254668.4645
MEM 232.832031 1608254668.4825
MEM 234.121094 1608254668.4991
MEM 235.152344 1608254668.5175
MEM 236.441406 1608254668.5362
MEM 237.988281 1608254668.5545
MEM 239.277344 1608254668.5710
MEM 240.308594 1608254668.5893
MEM 241.597656 1608254668.6075
MEM 242.886719 1608254668.6252
MEM 244.175781 1608254668.6434
MEM 245.464844 1608254668.6609
MEM 246.753906 1608254668.6792
MEM 248.042969 1608254668.6977
MEM 249.332031 1608254668.7161
MEM 250.621094 1608254668.7339
MEM 251.910156 1608254668.7519
MEM 253.457031 1608254668.7704
MEM 254.746094 1608254668.7874
MEM 256.035156 1608254668.8057
MEM 257.324219 1608254668.8240
MEM 258.613281 1608254668.8418
MEM 260.675781 1608254668.8585
MEM 261.449219 1608254668.8770
MEM 262.738281 1608254668.8953
MEM 264.027344 1608254668.9133
MEM 265.316406 1608254668.9315
MEM 266.605469 1608254668.9495
MEM 270.472656 1608254668.9674
MEM 270.472656 1608254668.9817
MEM 270.988281 1608254668.9999
MEM 272.277344 1608254669.0186
MEM 273.566406 1608254669.0369
MEM 274.855469 1608254669.0554
MEM 276.144531 1608254669.0732
MEM 277.433594 1608254669.0915
MEM 278.722656 1608254669.1092
MEM 280.011719 1608254669.1268
MEM 281.042969 1608254669.1415
MEM 282.074219 1608254669.1597
MEM 283.363281 1608254669.1775
MEM 290.324219 1608254669.1949
MEM 290.324219 1608254669.2098
MEM 290.324219 1608254669.2281
MEM 290.324219 1608254669.2461
MEM 291.097656 1608254669.2641
MEM 292.386719 1608254669.2819
MEM 293.675781 1608254669.2986
MEM 294.707031 1608254669.3168
MEM 295.996094 1608254669.3350
MEM 297.285156 1608254669.3529
MEM 298.574219 1608254669.3708
MEM 299.863281 1608254669.3853
MEM 300.894531 1608254669.4036
MEM 302.183594 1608254669.4218
MEM 303.472656 1608254669.4401
MEM 304.761719 1608254669.4584
MEM 305.792969 1608254669.4750
MEM 307.082031 1608254669.4932
MEM 308.371094 1608254669.5115
MEM 309.660156 1608254669.5294
MEM 310.949219 1608254669.5481
MEM 312.238281 1608254669.5664
MEM 313.527344 1608254669.5830
MEM 314.558594 1608254669.6012
MEM 315.847656 1608254669.6195
MEM 317.136719 1608254669.6373
MEM 329.769531 1608254669.6555
MEM 329.769531 1608254669.6734
MEM 329.769531 1608254669.6911
MEM 329.769531 1608254669.7055
MEM 329.769531 1608254669.7242
MEM 329.769531 1608254669.7425
MEM 329.769531 1608254669.7608
MEM 330.285156 1608254669.7798
MEM 331.574219 1608254669.7978
MEM 332.933594 1608254669.8144
MEM 333.964844 1608254669.8326
MEM 335.253906 1608254669.8509
MEM 336.542969 1608254669.8687
MEM 337.832031 1608254669.8873
MEM 339.121094 1608254669.9052
MEM 340.410156 1608254669.9231
MEM 341.441406 1608254669.9376
MEM 342.472656 1608254669.9558
MEM 343.761719 1608254669.9739
MEM 345.050781 1608254669.9906
MEM 346.082031 1608254670.0093
MEM 347.371094 1608254670.0278
MEM 348.660156 1608254670.0465
MEM 349.949219 1608254670.0649
MEM 350.207031 1608254670.0832
MEM 350.207031 1608254670.1009
MEM 350.207031 1608254670.1191
MEM 350.207031 1608254670.1367
MEM 350.207031 1608254670.1547
MEM 347.214844 1608254670.1692
MEM 347.117188 1608254670.1873
MEM 347.117188 1608254670.2049
MEM 347.117188 1608254670.2234
MEM 347.117188 1608254670.2409
MEM 347.117188 1608254670.2592
MEM 347.117188 1608254670.2773
MEM 347.117188 1608254670.2955
MEM 347.117188 1608254670.3132
MEM 347.117188 1608254670.3313
MEM 347.117188 1608254670.3457
MEM 347.117188 1608254670.3639
MEM 347.117188 1608254670.3818
MEM 347.117188 1608254670.3988
MEM 347.117188 1608254670.4155
MEM 347.117188 1608254670.4338
MEM 347.117188 1608254670.4521
MEM 347.117188 1608254670.4704
MEM 347.117188 1608254670.4884
MEM 347.117188 1608254670.5064
MEM 347.117188 1608254670.5243
MEM 347.117188 1608254670.5410
MEM 347.117188 1608254670.5596
MEM 347.117188 1608254670.5779
MEM 347.117188 1608254670.5962
MEM 347.117188 1608254670.6144
MEM 347.117188 1608254670.6322
MEM 347.117188 1608254670.6471
MEM 347.117188 1608254670.6654
MEM 347.117188 1608254670.6836
MEM 347.117188 1608254670.7016
MEM 347.117188 1608254670.7194
MEM 347.117188 1608254670.7343
MEM 347.117188 1608254670.7526
MEM 347.117188 1608254670.7719
MEM 347.117188 1608254670.7904
MEM 347.117188 1608254670.8080
MEM 347.117188 1608254670.8258
MEM 347.117188 1608254670.8423
MEM 347.117188 1608254670.8606
MEM 347.117188 1608254670.8789
MEM 347.117188 1608254670.8967
MEM 347.117188 1608254670.9153
MEM 347.117188 1608254670.9334
MEM 347.117188 1608254670.9518
MEM 347.117188 1608254670.9700
MEM 347.117188 1608254670.9877
MEM 347.117188 1608254671.0022
MEM 347.117188 1608254671.0209
MEM 347.117188 1608254671.0388
MEM 347.117188 1608254671.0570
MEM 347.117188 1608254671.0757
MEM 347.117188 1608254671.0937
MEM 347.117188 1608254671.1120
MEM 347.117188 1608254671.1302
MEM 347.117188 1608254671.1477
MEM 347.117188 1608254671.1621
MEM 347.117188 1608254671.1803
MEM 347.117188 1608254671.1985
MEM 347.117188 1608254671.2163
MEM 347.117188 1608254671.2310
MEM 347.117188 1608254671.2482
MEM 347.117188 1608254671.2665
MEM 347.117188 1608254671.2842
MEM 347.117188 1608254671.2987
MEM 347.117188 1608254671.3169
MEM 347.117188 1608254671.3349
MEM 347.117188 1608254671.3527
MEM 347.117188 1608254671.3704
MEM 347.117188 1608254671.3870
MEM 347.117188 1608254671.4052
MEM 347.117188 1608254671.4239
MEM 347.117188 1608254671.4419
MEM 347.117188 1608254671.4585
MEM 347.117188 1608254671.4767
MEM 347.117188 1608254671.4949
MEM 347.117188 1608254671.5125
MEM 347.117188 1608254671.5305
MEM 347.117188 1608254671.5471
MEM 347.117188 1608254671.5653
MEM 347.117188 1608254671.5841
MEM 347.117188 1608254671.6025
