CMDLINE python aliengo_stepping_stones.py
MEM 1.558594 1608250891.0697
MEM 116.093750 1608250891.1771
MEM 155.996094 1608250891.2853
MEM 164.503906 1608250891.3948
MEM 172.238281 1608250891.5038
MEM 172.238281 1608250891.6127
MEM 172.238281 1608250891.7218
MEM 172.238281 1608250891.8305
MEM 172.238281 1608250891.9396
MEM 173.062500 1608250892.0487
MEM 174.609375 1608250892.1575
MEM 174.609375 1608250892.2665
MEM 174.609375 1608250892.3753
MEM 174.609375 1608250892.4845
MEM 174.609375 1608250892.5940
MEM 176.414062 1608250892.7031
MEM 176.414062 1608250892.8122
MEM 176.414062 1608250892.9213
MEM 176.414062 1608250893.0307
MEM 176.671875 1608250893.1398
MEM 176.929688 1608250893.2490
MEM 178.476562 1608250893.3581
MEM 178.476562 1608250893.4671
MEM 178.476562 1608250893.5761
MEM 178.476562 1608250893.6853
MEM 178.734375 1608250893.7947
MEM 180.539062 1608250893.9037
MEM 180.539062 1608250894.0127
MEM 180.539062 1608250894.1218
MEM 180.539062 1608250894.2308
MEM 180.539062 1608250894.3398
MEM 180.539062 1608250894.4483
MEM 182.601562 1608250894.5582
MEM 182.601562 1608250894.6675
MEM 182.601562 1608250894.7778
MEM 182.601562 1608250894.8871
MEM 183.117188 1608250894.9972
MEM 183.117188 1608250895.1059
MEM 184.664062 1608250895.2151
MEM 184.664062 1608250895.3242
MEM 184.664062 1608250895.4332
MEM 184.664062 1608250895.5424
MEM 184.664062 1608250895.6516
MEM 186.468750 1608250895.7600
MEM 186.726562 1608250895.8689
MEM 186.726562 1608250895.9778
MEM 186.726562 1608250896.0868
MEM 186.726562 1608250896.1960
MEM 186.726562 1608250896.3048
MEM 188.789062 1608250896.4140
MEM 188.789062 1608250896.5231
MEM 188.789062 1608250896.6322
MEM 188.789062 1608250896.7413
MEM 188.789062 1608250896.8503
MEM 188.789062 1608250896.9595
MEM 190.851562 1608250897.0687
MEM 190.851562 1608250897.1777
MEM 190.851562 1608250897.2866
MEM 190.851562 1608250897.3954
