CMDLINE python aliengo_stepping_stones.py
MEM 1.671875 1608252968.9921
MEM 9.371094 1608252969.0109
MEM 17.300781 1608252969.0278
MEM 19.328125 1608252969.0449
MEM 22.585938 1608252969.0623
MEM 28.589844 1608252969.0796
MEM 53.156250 1608252969.0961
MEM 112.847656 1608252969.1147
MEM 136.093750 1608252969.1342
MEM 143.687500 1608252969.1536
MEM 153.273438 1608252969.1733
MEM 153.703125 1608252969.1914
MEM 154.992188 1608252969.2100
MEM 156.796875 1608252969.2286
MEM 157.828125 1608252969.2473
MEM 159.117188 1608252969.2661
MEM 161.695312 1608252969.2849
MEM 162.210938 1608252969.3035
MEM 163.500000 1608252969.3220
MEM 164.789062 1608252969.3408
MEM 166.078125 1608252969.3595
MEM 167.367188 1608252969.3782
MEM 171.750000 1608252969.3969
MEM 171.750000 1608252969.4155
MEM 172.265625 1608252969.4338
MEM 173.554688 1608252969.4525
MEM 174.843750 1608252969.4714
MEM 176.132812 1608252969.4904
MEM 177.679688 1608252969.5087
MEM 178.968750 1608252969.5270
MEM 180.257812 1608252969.5448
MEM 181.546875 1608252969.5623
MEM 182.578125 1608252969.5787
MEM 183.867188 1608252969.5968
MEM 185.414062 1608252969.6150
MEM 191.343750 1608252969.6328
MEM 191.343750 1608252969.6493
MEM 191.343750 1608252969.6675
MEM 191.859375 1608252969.6856
MEM 193.148438 1608252969.7037
MEM 194.437500 1608252969.7212
MEM 195.726562 1608252969.7389
MEM 197.015625 1608252969.7535
MEM 198.046875 1608252969.7731
MEM 199.335938 1608252969.7919
MEM 200.625000 1608252969.8100
MEM 201.914062 1608252969.8277
MEM 202.945312 1608252969.8423
MEM 203.976562 1608252969.8605
MEM 205.265625 1608252969.8788
MEM 206.554688 1608252969.8969
MEM 207.843750 1608252969.9148
MEM 209.132812 1608252969.9329
MEM 210.421875 1608252969.9510
MEM 211.710938 1608252969.9692
MEM 213.000000 1608252969.9874
MEM 214.289062 1608252970.0050
MEM 215.320312 1608252970.0230
MEM 216.609375 1608252970.0376
MEM 217.640625 1608252970.0557
MEM 230.789062 1608252970.0734
MEM 230.789062 1608252970.0898
MEM 230.789062 1608252970.1080
MEM 230.789062 1608252970.1259
MEM 230.789062 1608252970.1425
MEM 230.789062 1608252970.1607
MEM 230.789062 1608252970.1790
MEM 231.304688 1608252970.1967
