CMDLINE python aliengo_stepping_stones.py
MEM 0.742188 1608255153.0987
MEM 9.578125 1608255153.1181
MEM 17.828125 1608255153.1352
MEM 20.218750 1608255153.1523
MEM 23.656250 1608255153.1693
MEM 29.179688 1608255153.1864
MEM 53.421875 1608255153.2043
MEM 116.460938 1608255153.2233
MEM 139.238281 1608255153.2407
MEM 143.789062 1608255153.2556
MEM 153.070312 1608255153.2699
MEM 153.492188 1608255153.2843
MEM 153.765625 1608255153.2987
MEM 155.054688 1608255153.3132
MEM 156.085938 1608255153.3275
MEM 157.117188 1608255153.3420
MEM 158.148438 1608255153.3564
MEM 159.179688 1608255153.3707
MEM 160.210938 1608255153.3885
MEM 162.015625 1608255153.4070
MEM 163.304688 1608255153.4250
MEM 164.593750 1608255153.4429
MEM 165.882812 1608255153.4573
MEM 166.656250 1608255153.4755
MEM 167.945312 1608255153.4933
MEM 171.812500 1608255153.5110
MEM 171.812500 1608255153.5254
MEM 172.585938 1608255153.5435
MEM 173.617188 1608255153.5614
MEM 174.906250 1608255153.5792
MEM 176.195312 1608255153.5936
MEM 177.226562 1608255153.6118
MEM 178.515625 1608255153.6296
MEM 179.804688 1608255153.6474
MEM 181.093750 1608255153.6617
MEM 182.125000 1608255153.6798
MEM 183.156250 1608255153.6978
MEM 184.445312 1608255153.7143
MEM 191.406250 1608255153.7325
MEM 191.406250 1608255153.7506
MEM 191.406250 1608255153.7691
MEM 191.406250 1608255153.7887
MEM 192.437500 1608255153.8073
MEM 193.468750 1608255153.8266
MEM 194.757812 1608255153.8456
MEM 196.046875 1608255153.8642
MEM 197.335938 1608255153.8825
MEM 198.625000 1608255153.9009
MEM 199.914062 1608255153.9194
MEM 201.203125 1608255153.9374
MEM 202.492188 1608255153.9553
MEM 203.781250 1608255153.9696
MEM 204.812500 1608255153.9878
MEM 206.101562 1608255154.0059
MEM 207.390625 1608255154.0226
MEM 208.679688 1608255154.0408
MEM 209.968750 1608255154.0590
MEM 211.257812 1608255154.0765
MEM 212.289062 1608255154.0945
MEM 213.578125 1608255154.1110
MEM 214.867188 1608255154.1292
MEM 216.156250 1608255154.1474
MEM 217.445312 1608255154.1650
MEM 230.851562 1608255154.1830
MEM 230.851562 1608255154.1975
MEM 230.851562 1608255154.2156
MEM 230.851562 1608255154.2334
MEM 230.851562 1608255154.2506
MEM 230.851562 1608255154.2670
MEM 230.851562 1608255154.2851
MEM 230.851562 1608255154.3033
MEM 231.882812 1608255154.3213
MEM 233.171875 1608255154.3393
MEM 234.203125 1608255154.3536
MEM 235.234375 1608255154.3717
MEM 236.523438 1608255154.3894
MEM 237.812500 1608255154.4073
MEM 239.101562 1608255154.4217
MEM 240.132812 1608255154.4399
MEM 241.421875 1608255154.4575
MEM 242.710938 1608255154.4753
MEM 244.000000 1608255154.4897
MEM 245.031250 1608255154.5078
MEM 246.320312 1608255154.5258
MEM 247.351562 1608255154.5423
MEM 248.640625 1608255154.5605
MEM 249.929688 1608255154.5788
MEM 251.218750 1608255154.5969
MEM 252.507812 1608255154.6151
MEM 254.054688 1608255154.6326
MEM 255.859375 1608255154.6504
MEM 256.890625 1608255154.6669
MEM 257.921875 1608255154.6850
MEM 259.210938 1608255154.7031
MEM 261.015625 1608255154.7211
MEM 262.304688 1608255154.7391
MEM 263.593750 1608255154.7533
MEM 264.625000 1608255154.7723
MEM 265.914062 1608255154.7909
MEM 267.203125 1608255154.8088
MEM 270.554688 1608255154.8267
MEM 270.554688 1608255154.8411
MEM 271.585938 1608255154.8592
MEM 272.875000 1608255154.8772
MEM 274.164062 1608255154.8953
MEM 275.453125 1608255154.9135
MEM 276.742188 1608255154.9318
MEM 278.031250 1608255154.9493
MEM 279.320312 1608255154.9658
MEM 280.351562 1608255154.9838
MEM 281.640625 1608255155.0011
MEM 282.929688 1608255155.0192
MEM 286.796875 1608255155.0370
MEM 290.406250 1608255155.0544
MEM 290.406250 1608255155.0708
MEM 290.406250 1608255155.0890
MEM 290.664062 1608255155.1072
MEM 291.953125 1608255155.1248
MEM 293.242188 1608255155.1428
MEM 294.531250 1608255155.1571
MEM 295.562500 1608255155.1753
MEM 296.851562 1608255155.1929
MEM 298.140625 1608255155.2108
MEM 299.429688 1608255155.2252
MEM 300.203125 1608255155.2433
MEM 301.492188 1608255155.2608
MEM 302.781250 1608255155.2786
MEM 304.070312 1608255155.2951
MEM 305.101562 1608255155.3133
MEM 306.390625 1608255155.3314
MEM 307.679688 1608255155.3489
MEM 308.968750 1608255155.3670
MEM 310.257812 1608255155.3847
MEM 311.546875 1608255155.4024
MEM 312.578125 1608255155.4188
MEM 313.867188 1608255155.4370
MEM 315.156250 1608255155.4551
MEM 316.445312 1608255155.4729
MEM 329.851562 1608255155.4904
