CMDLINE python aliengo_stepping_stones.py
MEM 0.691406 1608249270.1920
MEM 53.183594 1608249270.2997
MEM 154.253906 1608249270.4086
MEM 162.246094 1608249270.5166
MEM 170.753906 1608249270.6255
MEM 172.042969 1608249270.7334
MEM 172.042969 1608249270.8423
MEM 172.042969 1608249270.9518
MEM 172.042969 1608249271.0605
MEM 172.042969 1608249271.1701
MEM 174.414062 1608249271.2792
MEM 174.414062 1608249271.3881
MEM 174.414062 1608249271.4969
MEM 174.414062 1608249271.6057
MEM 174.414062 1608249271.7145
MEM 174.414062 1608249271.8233
MEM 176.218750 1608249271.9320
MEM 176.218750 1608249272.0416
MEM 176.218750 1608249272.1487
MEM 176.218750 1608249272.2576
MEM 176.476562 1608249272.3665
MEM 177.250000 1608249272.4755
MEM 178.281250 1608249272.5832
MEM 178.281250 1608249272.6914
MEM 178.281250 1608249272.8005
MEM 178.281250 1608249272.9095
MEM 178.281250 1608249273.0179
MEM 179.054688 1608249273.1263
MEM 180.343750 1608249273.2350
MEM 180.343750 1608249273.3439
MEM 180.343750 1608249273.4524
MEM 180.343750 1608249273.5612
MEM 180.343750 1608249273.6697
MEM 182.406250 1608249273.7785
MEM 182.406250 1608249273.8873
MEM 182.406250 1608249273.9960
MEM 182.406250 1608249274.1048
MEM 182.406250 1608249274.2136
MEM 182.921875 1608249274.3188
MEM 184.468750 1608249274.4275
MEM 184.468750 1608249274.5361
MEM 184.468750 1608249274.6449
MEM 184.468750 1608249274.7537
MEM 184.468750 1608249274.8625
MEM 184.468750 1608249274.9709
MEM 186.531250 1608249275.0792
MEM 186.531250 1608249275.1884
MEM 186.531250 1608249275.2973
MEM 186.531250 1608249275.4062
MEM 186.531250 1608249275.5150
MEM 186.531250 1608249275.6239
MEM 188.593750 1608249275.7329
MEM 188.593750 1608249275.8408
MEM 188.593750 1608249275.9497
MEM 188.593750 1608249276.0584
MEM 188.593750 1608249276.1672
MEM 188.593750 1608249276.2763
MEM 190.656250 1608249276.3850
MEM 190.656250 1608249276.4941
MEM 190.656250 1608249276.6031
MEM 190.656250 1608249276.7122
MEM 190.656250 1608249276.8209
MEM 190.656250 1608249276.9298
MEM 192.718750 1608249277.0388
MEM 192.718750 1608249277.1477
MEM 192.718750 1608249277.2567
MEM 192.718750 1608249277.3656
MEM 192.718750 1608249277.4743
MEM 192.718750 1608249277.5827
MEM 194.523438 1608249277.6915
MEM 194.523438 1608249277.8001
MEM 194.523438 1608249277.9089
MEM 194.523438 1608249278.0177
MEM 194.781250 1608249278.1271
MEM 195.296875 1608249278.2353
MEM 196.585938 1608249278.3451
MEM 196.585938 1608249278.4536
MEM 196.585938 1608249278.5627
MEM 196.585938 1608249278.6718
MEM 197.617188 1608249278.7805
MEM 198.132812 1608249278.8896
MEM 198.906250 1608249279.0004
MEM 198.906250 1608249279.1093
MEM 198.906250 1608249279.2173
MEM 198.906250 1608249279.3227
MEM 198.906250 1608249279.4326
MEM 198.906250 1608249279.5414
MEM 200.968750 1608249279.6507
MEM 200.968750 1608249279.7598
MEM 200.968750 1608249279.8688
MEM 200.968750 1608249279.9781
MEM 200.968750 1608249280.0864
MEM 200.968750 1608249280.1958
MEM 203.031250 1608249280.3047
MEM 203.031250 1608249280.4141
MEM 203.031250 1608249280.5230
MEM 203.031250 1608249280.6322
MEM 203.031250 1608249280.7403
MEM 203.031250 1608249280.8493
MEM 204.835938 1608249280.9582
MEM 204.835938 1608249281.0667
MEM 204.835938 1608249281.1721
MEM 204.835938 1608249281.2807
MEM 205.093750 1608249281.3895
MEM 205.093750 1608249281.4982
MEM 206.898438 1608249281.6065
MEM 206.898438 1608249281.7153
MEM 206.898438 1608249281.8240
MEM 206.898438 1608249281.9328
MEM 206.898438 1608249282.0416
MEM 207.156250 1608249282.1504
MEM 208.960938 1608249282.2592
MEM 208.960938 1608249282.3678
MEM 208.960938 1608249282.4765
MEM 208.960938 1608249282.5852
MEM 208.960938 1608249282.6941
MEM 209.218750 1608249282.8028
MEM 211.023438 1608249282.9116
MEM 211.023438 1608249283.0203
MEM 211.023438 1608249283.1292
MEM 211.023438 1608249283.2380
MEM 211.023438 1608249283.3470
MEM 211.023438 1608249283.4559
MEM 213.085938 1608249283.5648
MEM 213.085938 1608249283.6737
MEM 213.085938 1608249283.7821
MEM 213.085938 1608249283.8911
MEM 213.085938 1608249284.0001
MEM 213.085938 1608249284.1089
MEM 215.148438 1608249284.2178
MEM 215.148438 1608249284.3264
MEM 215.148438 1608249284.4351
MEM 215.148438 1608249284.5442
MEM 215.148438 1608249284.6529
MEM 215.148438 1608249284.7616
MEM 217.210938 1608249284.8704
MEM 217.210938 1608249284.9790
MEM 217.210938 1608249285.0876
MEM 217.210938 1608249285.1964
MEM 217.210938 1608249285.3051
MEM 217.210938 1608249285.4139
MEM 219.015625 1608249285.5226
MEM 219.015625 1608249285.6313
MEM 219.015625 1608249285.7399
MEM 219.273438 1608249285.8487
MEM 219.273438 1608249285.9575
MEM 219.273438 1608249286.0662
MEM 221.078125 1608249286.1749
MEM 221.078125 1608249286.2833
MEM 221.078125 1608249286.3920
MEM 221.078125 1608249286.5007
MEM 221.335938 1608249286.6096
MEM 221.335938 1608249286.7184
MEM 223.140625 1608249286.8272
MEM 223.140625 1608249286.9359
MEM 223.140625 1608249287.0444
MEM 223.140625 1608249287.1533
MEM 223.140625 1608249287.2621
MEM 223.398438 1608249287.3708
MEM 225.203125 1608249287.4795
MEM 225.203125 1608249287.5881
MEM 225.203125 1608249287.6967
MEM 225.203125 1608249287.8055
MEM 227.007812 1608249287.9142
MEM 228.296875 1608249288.0231
MEM 228.296875 1608249288.1318
MEM 228.296875 1608249288.2403
MEM 228.296875 1608249288.3488
MEM 228.296875 1608249288.4578
MEM 228.296875 1608249288.5665
MEM 228.296875 1608249288.6753
MEM 229.843750 1608249288.7841
MEM 229.843750 1608249288.8929
MEM 229.843750 1608249289.0017
MEM 229.843750 1608249289.1107
MEM 229.843750 1608249289.2194
MEM 229.843750 1608249289.3281
MEM 231.648438 1608249289.4369
MEM 231.648438 1608249289.5454
MEM 231.648438 1608249289.6539
MEM 231.648438 1608249289.7628
MEM 231.906250 1608249289.8716
MEM 231.906250 1608249289.9803
MEM 233.710938 1608249290.0889
MEM 233.710938 1608249290.1974
MEM 233.710938 1608249290.3061
MEM 233.710938 1608249290.4150
MEM 233.710938 1608249290.5238
MEM 233.968750 1608249290.6325
MEM 235.773438 1608249290.7403
MEM 235.773438 1608249290.8490
MEM 235.773438 1608249290.9575
MEM 235.773438 1608249291.0662
MEM 235.773438 1608249291.1750
MEM 236.031250 1608249291.2837
MEM 237.835938 1608249291.3924
