CMDLINE python aliengo_stepping_stones.py
MEM 0.730469 1608255503.7938
MEM 9.410156 1608255503.8122
MEM 17.402344 1608255503.8292
MEM 19.703125 1608255503.8464
MEM 22.890625 1608255503.8635
MEM 28.800781 1608255503.8807
MEM 53.550781 1608255503.8979
MEM 114.699219 1608255503.9166
MEM 138.781250 1608255503.9354
MEM 143.792969 1608255503.9541
MEM 153.382812 1608255503.9726
MEM 153.382812 1608255503.9907
MEM 154.777344 1608255504.0094
MEM 156.066406 1608255504.0281
MEM 157.613281 1608255504.0465
MEM 158.902344 1608255504.0653
MEM 160.191406 1608255504.0842
MEM 161.996094 1608255504.1030
MEM 163.285156 1608255504.1212
MEM 164.574219 1608255504.1398
MEM 165.863281 1608255504.1583
MEM 167.152344 1608255504.1760
MEM 168.441406 1608255504.1938
MEM 171.792969 1608255504.2126
MEM 171.792969 1608255504.2307
MEM 173.082031 1608255504.2492
MEM 174.371094 1608255504.2679
MEM 175.917969 1608255504.2866
MEM 177.207031 1608255504.3050
MEM 178.496094 1608255504.3237
MEM 179.785156 1608255504.3422
MEM 181.074219 1608255504.3606
MEM 182.363281 1608255504.3793
MEM 183.652344 1608255504.3973
MEM 185.199219 1608255504.4162
MEM 191.386719 1608255504.4352
MEM 191.386719 1608255504.4539
MEM 191.386719 1608255504.4728
MEM 192.160156 1608255504.4916
MEM 193.449219 1608255504.5095
MEM 194.738281 1608255504.5281
MEM 196.027344 1608255504.5463
MEM 197.316406 1608255504.5649
MEM 198.605469 1608255504.5837
MEM 199.894531 1608255504.6024
MEM 201.183594 1608255504.6210
MEM 202.472656 1608255504.6397
MEM 203.761719 1608255504.6582
MEM 205.050781 1608255504.6768
MEM 206.339844 1608255504.6955
MEM 207.628906 1608255504.7139
MEM 208.917969 1608255504.7330
MEM 210.464844 1608255504.7516
MEM 211.753906 1608255504.7707
MEM 213.042969 1608255504.7899
MEM 214.332031 1608255504.8090
MEM 215.621094 1608255504.8271
MEM 216.910156 1608255504.8457
MEM 218.199219 1608255504.8638
MEM 230.832031 1608255504.8822
MEM 230.832031 1608255504.9005
MEM 230.832031 1608255504.9197
MEM 230.832031 1608255504.9387
MEM 230.832031 1608255504.9577
MEM 230.832031 1608255504.9765
MEM 230.832031 1608255504.9953
MEM 232.121094 1608255505.0141
MEM 233.410156 1608255505.0329
MEM 234.699219 1608255505.0514
MEM 235.988281 1608255505.0703
MEM 237.277344 1608255505.0893
MEM 238.824219 1608255505.1083
MEM 240.113281 1608255505.1266
MEM 241.402344 1608255505.1454
MEM 242.691406 1608255505.1642
MEM 243.980469 1608255505.1831
MEM 245.269531 1608255505.2015
MEM 246.558594 1608255505.2205
MEM 247.847656 1608255505.2396
MEM 249.136719 1608255505.2584
MEM 250.425781 1608255505.2773
MEM 251.714844 1608255505.2960
MEM 253.519531 1608255505.3146
MEM 254.550781 1608255505.3333
MEM 256.355469 1608255505.3514
MEM 257.386719 1608255505.3704
MEM 258.933594 1608255505.3878
MEM 260.738281 1608255505.4047
MEM 261.769531 1608255505.4215
MEM 262.800781 1608255505.4395
MEM 264.089844 1608255505.4542
MEM 265.121094 1608255505.4728
MEM 266.667969 1608255505.4913
MEM 270.792969 1608255505.5096
MEM 270.792969 1608255505.5281
MEM 271.308594 1608255505.5474
MEM 272.855469 1608255505.5660
MEM 274.144531 1608255505.5846
MEM 275.433594 1608255505.6032
MEM 276.722656 1608255505.6214
MEM 278.011719 1608255505.6399
MEM 279.300781 1608255505.6584
MEM 280.589844 1608255505.6766
MEM 281.878906 1608255505.6950
MEM 283.167969 1608255505.7130
MEM 290.386719 1608255505.7317
MEM 290.386719 1608255505.7502
MEM 290.386719 1608255505.7688
MEM 290.386719 1608255505.7877
MEM 291.417969 1608255505.8060
MEM 292.964844 1608255505.8244
MEM 294.253906 1608255505.8429
MEM 295.542969 1608255505.8613
MEM 296.832031 1608255505.8797
MEM 298.121094 1608255505.8979
MEM 299.410156 1608255505.9161
MEM 300.699219 1608255505.9345
MEM 301.988281 1608255505.9512
MEM 303.019531 1608255505.9698
MEM 304.308594 1608255505.9884
MEM 305.855469 1608255506.0068
MEM 307.144531 1608255506.0248
MEM 308.433594 1608255506.0425
MEM 309.464844 1608255506.0592
MEM 310.753906 1608255506.0776
MEM 312.042969 1608255506.0961
MEM 313.074219 1608255506.1141
MEM 314.363281 1608255506.1322
MEM 315.652344 1608255506.1506
MEM 316.941406 1608255506.1673
MEM 329.832031 1608255506.1859
MEM 329.832031 1608255506.2043
MEM 329.832031 1608255506.2229
MEM 329.832031 1608255506.2408
MEM 329.832031 1608255506.2591
MEM 329.832031 1608255506.2767
MEM 329.832031 1608255506.2951
MEM 330.347656 1608255506.3131
MEM 331.636719 1608255506.3309
MEM 332.925781 1608255506.3456
MEM 334.125000 1608255506.3640
MEM 335.410156 1608255506.3824
MEM 336.441406 1608255506.3991
MEM 337.730469 1608255506.4175
MEM 339.019531 1608255506.4360
MEM 340.308594 1608255506.4544
MEM 341.597656 1608255506.4724
MEM 342.886719 1608255506.4904
MEM 344.175781 1608255506.5071
MEM 345.207031 1608255506.5256
MEM 346.496094 1608255506.5440
MEM 347.785156 1608255506.5621
MEM 349.074219 1608255506.5800
MEM 350.105469 1608255506.5946
MEM 350.105469 1608255506.6132
MEM 350.105469 1608255506.6319
MEM 350.105469 1608255506.6502
MEM 350.105469 1608255506.6687
MEM 350.105469 1608255506.6872
MEM 347.246094 1608255506.7060
MEM 347.148438 1608255506.7243
MEM 347.148438 1608255506.7453
MEM 347.148438 1608255506.7651
MEM 347.148438 1608255506.7860
MEM 347.148438 1608255506.8062
MEM 347.148438 1608255506.8254
MEM 347.148438 1608255506.8445
MEM 347.148438 1608255506.8639
MEM 347.148438 1608255506.8827
MEM 347.148438 1608255506.9015
MEM 347.148438 1608255506.9207
MEM 347.148438 1608255506.9415
MEM 347.148438 1608255506.9618
