CMDLINE python aliengo_stepping_stones.py
MEM 0.734375 1608254920.7405
MEM 9.218750 1608254920.7565
MEM 16.781250 1608254920.7755
MEM 19.386719 1608254920.7925
MEM 22.636719 1608254920.8096
MEM 28.347656 1608254920.8268
MEM 50.859375 1608254920.8426
MEM 110.316406 1608254920.8622
MEM 125.062500 1608254920.8815
MEM 139.992188 1608254920.8998
MEM 148.355469 1608254920.9180
MEM 153.300781 1608254920.9369
MEM 153.984375 1608254920.9555
MEM 155.273438 1608254920.9737
MEM 156.820312 1608254920.9922
MEM 158.109375 1608254921.0107
MEM 159.398438 1608254921.0290
MEM 161.718750 1608254921.0470
MEM 162.492188 1608254921.0652
MEM 163.523438 1608254921.0837
MEM 164.812500 1608254921.1021
MEM 166.101562 1608254921.1204
MEM 167.390625 1608254921.1388
MEM 171.773438 1608254921.1575
MEM 171.773438 1608254921.1760
MEM 172.289062 1608254921.1943
MEM 173.578125 1608254921.2126
MEM 174.867188 1608254921.2311
MEM 176.156250 1608254921.2492
MEM 177.445312 1608254921.2676
MEM 178.734375 1608254921.2857
MEM 179.765625 1608254921.3043
MEM 181.054688 1608254921.3227
MEM 182.343750 1608254921.3409
MEM 183.632812 1608254921.3585
MEM 184.921875 1608254921.3762
MEM 191.367188 1608254921.3941
MEM 191.367188 1608254921.4127
MEM 191.367188 1608254921.4312
MEM 191.882812 1608254921.4492
MEM 193.171875 1608254921.4673
MEM 194.203125 1608254921.4854
MEM 195.492188 1608254921.5040
MEM 196.781250 1608254921.5224
MEM 198.070312 1608254921.5395
MEM 199.359375 1608254921.5542
MEM 200.390625 1608254921.5727
MEM 201.679688 1608254921.5910
MEM 202.968750 1608254921.6094
MEM 204.257812 1608254921.6279
MEM 205.546875 1608254921.6461
MEM 206.835938 1608254921.6648
MEM 208.125000 1608254921.6834
MEM 209.414062 1608254921.7012
MEM 210.445312 1608254921.7196
MEM 211.734375 1608254921.7378
MEM 213.023438 1608254921.7564
MEM 214.312500 1608254921.7757
MEM 215.601562 1608254921.7941
MEM 216.890625 1608254921.8126
MEM 218.179688 1608254921.8315
MEM 230.812500 1608254921.8484
MEM 230.812500 1608254921.8649
MEM 230.812500 1608254921.8831
MEM 230.812500 1608254921.9010
MEM 230.812500 1608254921.9191
MEM 230.812500 1608254921.9367
MEM 230.812500 1608254921.9547
MEM 231.328125 1608254921.9692
MEM 232.359375 1608254921.9873
MEM 233.648438 1608254922.0051
MEM 234.937500 1608254922.0224
MEM 236.226562 1608254922.0401
MEM 237.257812 1608254922.0575
MEM 238.546875 1608254922.0739
MEM 239.578125 1608254922.0919
MEM 240.867188 1608254922.1099
MEM 242.156250 1608254922.1280
MEM 243.445312 1608254922.1460
MEM 244.734375 1608254922.1624
MEM 245.765625 1608254922.1805
MEM 247.054688 1608254922.1986
MEM 248.343750 1608254922.2163
MEM 249.632812 1608254922.2336
MEM 250.664062 1608254922.2500
MEM 252.210938 1608254922.2681
MEM 253.500000 1608254922.2859
MEM 254.789062 1608254922.3037
MEM 256.078125 1608254922.3181
MEM 257.109375 1608254922.3361
MEM 258.398438 1608254922.3537
MEM 260.718750 1608254922.3701
MEM 261.234375 1608254922.3883
MEM 262.523438 1608254922.4062
MEM 263.812500 1608254922.4240
MEM 265.101562 1608254922.4383
MEM 266.132812 1608254922.4564
MEM 267.421875 1608254922.4747
MEM 270.515625 1608254922.4927
MEM 270.773438 1608254922.5109
MEM 272.062500 1608254922.5285
MEM 273.351562 1608254922.5462
MEM 274.640625 1608254922.5628
MEM 275.671875 1608254922.5809
MEM 276.960938 1608254922.5991
MEM 278.250000 1608254922.6168
MEM 279.539062 1608254922.6345
MEM 280.828125 1608254922.6510
MEM 281.859375 1608254922.6689
MEM 283.148438 1608254922.6868
MEM 290.367188 1608254922.7010
MEM 290.367188 1608254922.7189
MEM 290.367188 1608254922.7366
MEM 290.367188 1608254922.7543
MEM 290.882812 1608254922.7722
MEM 292.171875 1608254922.7889
MEM 293.460938 1608254922.8071
MEM 294.750000 1608254922.8249
MEM 296.039062 1608254922.8426
MEM 297.070312 1608254922.8590
MEM 298.359375 1608254922.8771
MEM 299.648438 1608254922.8953
MEM 300.937500 1608254922.9132
MEM 302.226562 1608254922.9307
MEM 303.515625 1608254922.9472
MEM 304.546875 1608254922.9653
MEM 305.835938 1608254922.9835
MEM 307.125000 1608254923.0014
MEM 308.414062 1608254923.0191
MEM 309.703125 1608254923.0335
MEM 310.476562 1608254923.0516
MEM 311.765625 1608254923.0694
MEM 313.054688 1608254923.0858
MEM 314.343750 1608254923.1039
MEM 315.632812 1608254923.1219
MEM 316.664062 1608254923.1400
MEM 329.812500 1608254923.1580
MEM 329.812500 1608254923.1744
MEM 329.812500 1608254923.1925
MEM 329.812500 1608254923.2106
MEM 329.812500 1608254923.2283
MEM 329.812500 1608254923.2458
MEM 329.812500 1608254923.2654
MEM 330.328125 1608254923.2832
MEM 331.617188 1608254923.2979
MEM 332.648438 1608254923.3162
MEM 333.906250 1608254923.3344
MEM 335.195312 1608254923.3526
MEM 336.484375 1608254923.3709
MEM 337.773438 1608254923.3887
MEM 339.062500 1608254923.4066
MEM 340.351562 1608254923.4240
MEM 341.382812 1608254923.4414
MEM 342.671875 1608254923.4588
MEM 343.960938 1608254923.4766
MEM 345.250000 1608254923.4949
MEM 346.539062 1608254923.5135
MEM 347.828125 1608254923.5318
MEM 349.117188 1608254923.5500
MEM 350.148438 1608254923.5682
MEM 350.148438 1608254923.5865
MEM 350.148438 1608254923.6048
