CMDLINE python aliengo_stepping_stones.py
MEM 1.609375 1608250171.7519
MEM 53.167969 1608250171.8576
MEM 154.257812 1608250171.9667
MEM 162.507812 1608250172.0757
MEM 171.789062 1608250172.1848
MEM 172.046875 1608250172.2937
MEM 172.046875 1608250172.4027
MEM 172.046875 1608250172.5117
MEM 172.046875 1608250172.6209
MEM 172.046875 1608250172.7301
MEM 174.476562 1608250172.8390
MEM 174.476562 1608250172.9482
MEM 174.476562 1608250173.0573
MEM 174.476562 1608250173.1664
MEM 174.476562 1608250173.2755
MEM 176.023438 1608250173.3846
MEM 176.281250 1608250173.4942
MEM 176.281250 1608250173.6035
MEM 176.281250 1608250173.7132
MEM 176.539062 1608250173.8228
MEM 176.539062 1608250173.9312
MEM 178.343750 1608250174.0416
MEM 178.343750 1608250174.1509
MEM 178.343750 1608250174.2607
MEM 178.343750 1608250174.3706
MEM 178.343750 1608250174.4816
MEM 178.601562 1608250174.5910
MEM 180.406250 1608250174.7003
MEM 180.406250 1608250174.8096
MEM 180.406250 1608250174.9187
MEM 180.406250 1608250175.0268
MEM 180.406250 1608250175.1365
MEM 180.406250 1608250175.2460
MEM 182.468750 1608250175.3556
MEM 182.468750 1608250175.4651
MEM 182.468750 1608250175.5743
MEM 182.468750 1608250175.6840
MEM 182.468750 1608250175.7939
MEM 182.984375 1608250175.9030
MEM 184.531250 1608250176.0123
MEM 184.531250 1608250176.1215
MEM 184.531250 1608250176.2306
MEM 184.531250 1608250176.3399
MEM 184.531250 1608250176.4493
MEM 184.531250 1608250176.5580
MEM 186.593750 1608250176.6672
MEM 186.593750 1608250176.7780
MEM 186.593750 1608250176.8867
MEM 186.593750 1608250176.9961
MEM 186.593750 1608250177.1052
MEM 188.398438 1608250177.2145
MEM 188.656250 1608250177.3236
MEM 188.656250 1608250177.4325
MEM 188.656250 1608250177.5414
MEM 188.656250 1608250177.6504
MEM 188.656250 1608250177.7594
MEM 190.718750 1608250177.8686
MEM 190.718750 1608250177.9775
MEM 190.718750 1608250178.0871
MEM 190.718750 1608250178.1965
MEM 190.718750 1608250178.3056
MEM 190.718750 1608250178.4143
MEM 192.523438 1608250178.5233
MEM 192.523438 1608250178.6335
MEM 192.523438 1608250178.7426
MEM 192.523438 1608250178.8520
MEM 192.781250 1608250178.9613
MEM 192.781250 1608250179.0705
MEM 194.585938 1608250179.1797
MEM 194.585938 1608250179.2890
MEM 194.585938 1608250179.3971
MEM 194.585938 1608250179.5069
MEM 194.585938 1608250179.6172
MEM 194.843750 1608250179.7264
MEM 196.648438 1608250179.8356
MEM 196.648438 1608250179.9458
MEM 196.648438 1608250180.0553
MEM 196.648438 1608250180.1644
MEM 196.648438 1608250180.2732
MEM 197.679688 1608250180.3829
MEM 198.453125 1608250180.4918
MEM 198.968750 1608250180.6011
MEM 198.968750 1608250180.7101
MEM 198.968750 1608250180.8194
MEM 198.968750 1608250180.9280
MEM 198.968750 1608250181.0368
MEM 199.226562 1608250181.1455
MEM 201.031250 1608250181.2546
MEM 201.031250 1608250181.3636
MEM 201.031250 1608250181.4725
MEM 201.031250 1608250181.5821
MEM 201.031250 1608250181.6913
MEM 201.546875 1608250181.8009
MEM 203.093750 1608250181.9105
MEM 203.093750 1608250182.0195
MEM 203.093750 1608250182.1284
MEM 203.093750 1608250182.2382
MEM 203.093750 1608250182.3476
MEM 204.125000 1608250182.4576
MEM 204.898438 1608250182.5667
MEM 204.898438 1608250182.6756
MEM 204.898438 1608250182.7847
MEM 205.156250 1608250182.8939
MEM 205.156250 1608250183.0031
MEM 206.187500 1608250183.1121
MEM 206.960938 1608250183.2216
MEM 206.960938 1608250183.3305
MEM 206.960938 1608250183.4396
MEM 206.960938 1608250183.5487
MEM 207.218750 1608250183.6578
MEM 208.765625 1608250183.7672
