CMDLINE python aliengo_stepping_stones.py
MEM 1.832031 1608257596.3351
MEM 9.871094 1608257596.3536
MEM 17.796875 1608257596.3709
MEM 20.531250 1608257596.3881
MEM 24.796875 1608257596.4055
MEM 29.656250 1608257596.4229
MEM 70.769531 1608257596.4397
MEM 118.691406 1608257596.4558
MEM 139.343750 1608257596.4756
MEM 146.531250 1608257596.4943
MEM 153.542969 1608257596.5140
MEM 153.867188 1608257596.5330
MEM 143.832031 1608257596.5509
MEM 143.832031 1608257596.5701
MEM 143.832031 1608257596.5891
MEM 143.832031 1608257596.6081
MEM 143.832031 1608257596.6270
MEM 143.832031 1608257596.6453
MEM 143.832031 1608257596.6643
MEM 143.832031 1608257596.6832
MEM 143.832031 1608257596.7014
MEM 143.832031 1608257596.7203
MEM 143.832031 1608257596.7393
MEM 143.832031 1608257596.7578
MEM 143.832031 1608257596.7760
MEM 143.832031 1608257596.7948
MEM 143.832031 1608257596.8133
MEM 143.832031 1608257596.8322
MEM 143.832031 1608257596.8511
MEM 143.832031 1608257596.8698
MEM 143.832031 1608257596.8890
MEM 143.832031 1608257596.9079
MEM 143.832031 1608257596.9266
MEM 143.832031 1608257596.9448
MEM 143.832031 1608257596.9635
MEM 143.832031 1608257596.9821
MEM 143.832031 1608257597.0009
MEM 143.832031 1608257597.0196
MEM 143.832031 1608257597.0381
MEM 143.832031 1608257597.0567
MEM 143.832031 1608257597.0748
MEM 143.832031 1608257597.0927
MEM 143.832031 1608257597.1082
MEM 143.832031 1608257597.1250
MEM 143.832031 1608257597.1419
MEM 143.832031 1608257597.1588
MEM 143.832031 1608257597.1775
MEM 143.832031 1608257597.1961
MEM 143.832031 1608257597.2145
MEM 143.832031 1608257597.2328
MEM 143.832031 1608257597.2516
MEM 143.832031 1608257597.2717
MEM 143.832031 1608257597.2866
MEM 143.832031 1608257597.3014
MEM 143.832031 1608257597.3181
MEM 143.832031 1608257597.3353
MEM 143.832031 1608257597.3541
MEM 143.832031 1608257597.3734
MEM 143.832031 1608257597.3937
MEM 143.832031 1608257597.4126
MEM 143.832031 1608257597.4316
MEM 143.832031 1608257597.4505
MEM 143.832031 1608257597.4704
MEM 143.832031 1608257597.4907
MEM 143.832031 1608257597.5108
MEM 143.832031 1608257597.5292
MEM 143.832031 1608257597.5500
MEM 143.832031 1608257597.5691
MEM 143.832031 1608257597.5898
MEM 143.832031 1608257597.6074
MEM 143.832031 1608257597.6264
MEM 143.832031 1608257597.6462
MEM 143.832031 1608257597.6666
MEM 143.832031 1608257597.6851
MEM 143.832031 1608257597.7028
MEM 143.832031 1608257597.7230
MEM 143.832031 1608257597.7424
MEM 143.832031 1608257597.7626
MEM 143.832031 1608257597.7811
MEM 143.832031 1608257597.8019
MEM 143.832031 1608257597.8220
MEM 143.832031 1608257597.8417
MEM 143.832031 1608257597.8603
MEM 143.832031 1608257597.8804
MEM 143.832031 1608257597.8993
MEM 143.832031 1608257597.9186
MEM 143.832031 1608257597.9384
MEM 143.832031 1608257597.9581
MEM 143.832031 1608257597.9781
MEM 143.832031 1608257597.9982
MEM 143.832031 1608257598.0187
MEM 143.832031 1608257598.0385
MEM 143.832031 1608257598.0585
MEM 143.832031 1608257598.0782
MEM 143.832031 1608257598.0977
MEM 143.832031 1608257598.1177
MEM 143.832031 1608257598.1372
MEM 143.832031 1608257598.1568
MEM 143.832031 1608257598.1765
MEM 143.832031 1608257598.1956
MEM 143.832031 1608257598.2152
MEM 143.832031 1608257598.2343
MEM 143.832031 1608257598.2548
MEM 143.832031 1608257598.2743
MEM 143.832031 1608257598.2942
MEM 143.832031 1608257598.3132
MEM 143.832031 1608257598.3318
MEM 143.832031 1608257598.3498
MEM 143.832031 1608257598.3665
MEM 143.832031 1608257598.3849
MEM 143.832031 1608257598.4033
MEM 143.832031 1608257598.4215
MEM 143.832031 1608257598.4400
MEM 143.832031 1608257598.4581
MEM 143.832031 1608257598.4748
MEM 143.832031 1608257598.4950
MEM 143.832031 1608257598.5136
MEM 143.832031 1608257598.5319
MEM 143.832031 1608257598.5497
MEM 143.832031 1608257598.5675
MEM 143.832031 1608257598.5821
MEM 143.832031 1608257598.6005
MEM 143.832031 1608257598.6189
MEM 143.832031 1608257598.6369
MEM 143.832031 1608257598.6553
MEM 143.832031 1608257598.6733
MEM 143.832031 1608257598.6923
MEM 143.832031 1608257598.7110
MEM 143.832031 1608257598.7284
MEM 143.832031 1608257598.7435
MEM 143.832031 1608257598.7603
MEM 143.832031 1608257598.7794
MEM 143.832031 1608257598.7973
MEM 143.832031 1608257598.8151
MEM 143.832031 1608257598.8297
MEM 143.832031 1608257598.8482
MEM 143.832031 1608257598.8667
MEM 143.832031 1608257598.8851
MEM 143.832031 1608257598.9036
MEM 143.832031 1608257598.9215
MEM 143.832031 1608257598.9393
MEM 143.832031 1608257598.9540
MEM 143.832031 1608257598.9725
MEM 143.832031 1608257598.9912
MEM 143.832031 1608257599.0095
MEM 143.832031 1608257599.0279
MEM 143.832031 1608257599.0459
MEM 143.832031 1608257599.0639
MEM 143.832031 1608257599.0785
MEM 143.832031 1608257599.0969
MEM 143.832031 1608257599.1154
MEM 143.832031 1608257599.1336
MEM 143.832031 1608257599.1520
MEM 143.832031 1608257599.1721
MEM 143.832031 1608257599.1912
MEM 143.832031 1608257599.2094
MEM 143.832031 1608257599.2291
