CMDLINE python aliengo_stepping_stones.py
MEM 0.695312 1608252993.4425
MEM 7.921875 1608252993.4487
MEM 9.550781 1608252993.4550
MEM 12.347656 1608252993.4620
MEM 16.828125 1608252993.4697
MEM 17.914062 1608252993.4773
MEM 19.082031 1608252993.4872
MEM 20.976562 1608252993.5006
MEM 23.781250 1608252993.5165
MEM 28.742188 1608252993.5255
MEM 33.902344 1608252993.5333
MEM 51.644531 1608252993.5399
MEM 75.210938 1608252993.5471
MEM 109.902344 1608252993.5534
MEM 115.683594 1608252993.5599
MEM 122.226562 1608252993.5665
MEM 130.691406 1608252993.5735
MEM 138.421875 1608252993.5799
MEM 139.250000 1608252993.5863
MEM 141.167969 1608252993.5926
MEM 144.777344 1608252993.5991
MEM 147.871094 1608252993.6054
MEM 152.253906 1608252993.6118
MEM 152.507812 1608252993.6176
MEM 152.507812 1608252993.6235
MEM 152.507812 1608252993.6294
MEM 152.976562 1608252993.6349
MEM 153.750000 1608252993.6406
MEM 153.750000 1608252993.6462
MEM 154.265625 1608252993.6516
MEM 154.523438 1608252993.6573
MEM 155.039062 1608252993.6628
MEM 155.812500 1608252993.6683
MEM 156.070312 1608252993.6739
MEM 156.328125 1608252993.6794
MEM 156.843750 1608252993.6849
MEM 157.101562 1608252993.6904
MEM 157.617188 1608252993.6959
MEM 157.875000 1608252993.7014
MEM 158.390625 1608252993.7070
MEM 158.648438 1608252993.7128
MEM 159.164062 1608252993.7224
MEM 161.226562 1608252993.7293
MEM 161.226562 1608252993.7349
MEM 161.226562 1608252993.7404
MEM 161.742188 1608252993.7462
MEM 162.000000 1608252993.7517
MEM 162.515625 1608252993.7572
MEM 162.773438 1608252993.7629
MEM 163.289062 1608252993.7693
MEM 163.804688 1608252993.7755
MEM 164.062500 1608252993.7816
MEM 164.578125 1608252993.7874
MEM 164.835938 1608252993.7929
MEM 165.351562 1608252993.7983
MEM 165.867188 1608252993.8040
MEM 166.125000 1608252993.8096
MEM 166.640625 1608252993.8151
MEM 166.898438 1608252993.8208
MEM 167.414062 1608252993.8264
MEM 167.671875 1608252993.8321
MEM 171.023438 1608252993.8381
MEM 171.023438 1608252993.8437
MEM 171.023438 1608252993.8493
MEM 171.023438 1608252993.8550
MEM 171.023438 1608252993.8605
MEM 171.023438 1608252993.8661
MEM 171.539062 1608252993.8717
MEM 171.796875 1608252993.8773
MEM 172.312500 1608252993.8831
MEM 172.570312 1608252993.8887
MEM 173.085938 1608252993.8945
MEM 173.601562 1608252993.9000
MEM 173.859375 1608252993.9056
MEM 174.375000 1608252993.9113
MEM 174.632812 1608252993.9169
MEM 175.148438 1608252993.9226
MEM 175.406250 1608252993.9281
MEM 175.921875 1608252993.9337
MEM 176.179688 1608252993.9395
MEM 176.695312 1608252993.9450
MEM 177.210938 1608252993.9505
MEM 177.468750 1608252993.9561
MEM 177.984375 1608252993.9617
MEM 178.242188 1608252993.9672
MEM 178.757812 1608252993.9730
MEM 179.015625 1608252993.9785
MEM 179.531250 1608252993.9841
MEM 179.789062 1608252993.9904
MEM 180.304688 1608252993.9959
MEM 180.820312 1608252994.0017
MEM 181.078125 1608252994.0073
MEM 181.593750 1608252994.0128
MEM 181.851562 1608252994.0194
MEM 182.367188 1608252994.0295
MEM 183.140625 1608252994.0349
MEM 183.398438 1608252994.0404
MEM 183.914062 1608252994.0458
MEM 184.171875 1608252994.0514
MEM 190.875000 1608252994.0567
MEM 190.875000 1608252994.0621
MEM 190.875000 1608252994.0677
MEM 190.875000 1608252994.0731
MEM 190.875000 1608252994.0784
MEM 190.875000 1608252994.0837
MEM 190.875000 1608252994.0890
MEM 190.875000 1608252994.0945
MEM 190.875000 1608252994.0999
MEM 190.875000 1608252994.1052
MEM 190.875000 1608252994.1106
MEM 190.875000 1608252994.1159
MEM 190.875000 1608252994.1213
MEM 191.390625 1608252994.1268
MEM 191.648438 1608252994.1322
MEM 192.164062 1608252994.1376
MEM 192.421875 1608252994.1429
MEM 192.937500 1608252994.1483
MEM 193.195312 1608252994.1536
MEM 193.453125 1608252994.1589
MEM 193.968750 1608252994.1643
MEM 194.226562 1608252994.1696
MEM 194.742188 1608252994.1750
MEM 195.000000 1608252994.1803
MEM 195.515625 1608252994.1856
MEM 195.773438 1608252994.1909
MEM 196.289062 1608252994.1963
MEM 196.546875 1608252994.2018
MEM 197.062500 1608252994.2071
