CMDLINE python aliengo_stepping_stones.py
MEM 1.496094 1608252837.5663
MEM 53.453125 1608252837.6740
MEM 154.742188 1608252837.7827
MEM 162.992188 1608252837.8918
MEM 171.757812 1608252838.0009
MEM 179.234375 1608252838.1101
MEM 191.351562 1608252838.2194
MEM 196.507812 1608252838.3284
MEM 204.242188 1608252838.4375
MEM 211.976562 1608252838.5465
MEM 230.796875 1608252838.6558
MEM 231.054688 1608252838.7646
MEM 238.531250 1608252838.8738
MEM 246.265625 1608252838.9824
MEM 254.000000 1608252839.0915
MEM 262.250000 1608252839.1998
MEM 270.757812 1608252839.3089
MEM 277.976562 1608252839.4182
MEM 290.351562 1608252839.5272
MEM 294.734375 1608252839.6364
MEM 302.210938 1608252839.7455
MEM 309.687500 1608252839.8546
MEM 317.164062 1608252839.9637
MEM 329.796875 1608252840.0729
MEM 335.484375 1608252840.1815
MEM 342.703125 1608252840.2905
MEM 350.179688 1608252840.3992
MEM 350.175781 1608252840.5077
MEM 350.429688 1608252840.6163
MEM 350.429688 1608252840.7255
MEM 350.429688 1608252840.8341
MEM 350.429688 1608252840.9433
MEM 350.429688 1608252841.0522
MEM 350.429688 1608252841.1612
MEM 350.429688 1608252841.2703
MEM 350.429688 1608252841.3789
MEM 350.429688 1608252841.4882
MEM 350.429688 1608252841.5970
MEM 350.429688 1608252841.7061
MEM 350.429688 1608252841.8152
MEM 350.429688 1608252841.9242
MEM 350.429688 1608252842.0330
MEM 350.429688 1608252842.1422
MEM 350.429688 1608252842.2507
MEM 350.429688 1608252842.3600
MEM 350.429688 1608252842.4688
MEM 350.429688 1608252842.5777
MEM 350.429688 1608252842.6865
MEM 354.804688 1608252842.7949
MEM 362.023438 1608252842.9041
MEM 369.500000 1608252843.0130
MEM 371.562500 1608252843.1232
MEM 372.187500 1608252843.2324
MEM 372.187500 1608252843.3416
MEM 372.187500 1608252843.4502
MEM 372.187500 1608252843.5595
MEM 372.187500 1608252843.6687
MEM 372.187500 1608252843.7780
MEM 372.187500 1608252843.8872
MEM 372.187500 1608252843.9964
MEM 373.992188 1608252844.1055
MEM 373.992188 1608252844.2147
MEM 374.250000 1608252844.3238
MEM 374.250000 1608252844.4329
MEM 374.250000 1608252844.5419
MEM 374.250000 1608252844.6509
MEM 374.250000 1608252844.7600
MEM 374.250000 1608252844.8691
MEM 374.250000 1608252844.9782
MEM 374.250000 1608252845.0873
MEM 374.250000 1608252845.1963
MEM 374.250000 1608252845.3055
MEM 375.539062 1608252845.4144
MEM 381.277344 1608252845.5231
MEM 388.753906 1608252845.6321
MEM 391.332031 1608252845.7414
MEM 390.792969 1608252845.8507
