CMDLINE python aliengo_stepping_stones.py
MEM 1.507812 1608253780.7579
MEM 9.121094 1608253780.7760
MEM 17.273438 1608253780.7928
MEM 19.304688 1608253780.8097
MEM 22.921875 1608253780.8265
MEM 29.082031 1608253780.8435
MEM 52.718750 1608253780.8590
MEM 113.066406 1608253780.8780
MEM 132.769531 1608253780.8973
MEM 140.730469 1608253780.9165
MEM 147.218750 1608253780.9357
MEM 144.632812 1608253780.9541
MEM 144.632812 1608253780.9720
MEM 144.632812 1608253780.9876
MEM 144.632812 1608253781.0063
MEM 144.632812 1608253781.0245
MEM 144.632812 1608253781.0427
MEM 144.632812 1608253781.0605
MEM 144.632812 1608253781.0779
MEM 144.632812 1608253781.0943
MEM 144.632812 1608253781.1123
MEM 144.632812 1608253781.1303
MEM 144.632812 1608253781.1483
MEM 144.632812 1608253781.1665
MEM 144.632812 1608253781.1829
MEM 144.632812 1608253781.2010
MEM 144.632812 1608253781.2190
MEM 144.632812 1608253781.2391
MEM 145.394531 1608253781.2571
MEM 146.683594 1608253781.2752
MEM 147.714844 1608253781.2931
MEM 149.003906 1608253781.3109
MEM 150.292969 1608253781.3253
MEM 151.324219 1608253781.3431
MEM 152.613281 1608253781.3607
MEM 160.089844 1608253781.3782
MEM 160.089844 1608253781.3946
MEM 160.089844 1608253781.4127
MEM 160.089844 1608253781.4307
MEM 160.605469 1608253781.4486
MEM 161.894531 1608253781.4665
MEM 163.183594 1608253781.4828
MEM 164.472656 1608253781.5009
MEM 165.761719 1608253781.5190
MEM 167.050781 1608253781.5360
MEM 168.082031 1608253781.5510
MEM 169.113281 1608253781.5692
MEM 170.402344 1608253781.5872
MEM 171.691406 1608253781.6048
MEM 172.980469 1608253781.6227
MEM 174.269531 1608253781.6391
MEM 175.300781 1608253781.6573
MEM 176.589844 1608253781.6753
MEM 177.878906 1608253781.6928
MEM 179.167969 1608253781.7116
MEM 180.457031 1608253781.7294
MEM 181.746094 1608253781.7495
MEM 183.035156 1608253781.7684
MEM 184.324219 1608253781.7884
MEM 185.613281 1608253781.8067
MEM 195.925781 1608253781.8241
MEM 199.277344 1608253781.8385
MEM 199.277344 1608253781.8566
MEM 199.277344 1608253781.8746
MEM 199.277344 1608253781.8925
