CMDLINE python aliengo_stepping_stones.py
MEM 1.625000 1608255615.7625
MEM 9.535156 1608255615.7821
MEM 17.843750 1608255615.7994
MEM 20.269531 1608255615.8166
MEM 23.671875 1608255615.8342
MEM 29.136719 1608255615.8519
MEM 63.144531 1608255615.8683
MEM 117.304688 1608255615.8876
MEM 139.300781 1608255615.9041
MEM 143.851562 1608255615.9225
MEM 153.558594 1608255615.9410
MEM 153.558594 1608255615.9599
MEM 154.863281 1608255615.9785
MEM 156.667969 1608255615.9961
MEM 157.699219 1608255616.0137
MEM 158.988281 1608255616.0322
MEM 161.824219 1608255616.0510
MEM 162.082031 1608255616.0694
MEM 163.371094 1608255616.0881
MEM 164.917969 1608255616.1066
MEM 166.980469 1608255616.1248
MEM 167.753906 1608255616.1441
MEM 169.042969 1608255616.1630
MEM 171.878906 1608255616.1815
MEM 172.136719 1608255616.2001
MEM 172.929688 1608255616.2184
MEM 172.929688 1608255616.2361
MEM 172.929688 1608255616.2539
MEM 172.929688 1608255616.2705
MEM 172.929688 1608255616.2888
MEM 172.929688 1608255616.3070
MEM 172.929688 1608255616.3249
MEM 172.929688 1608255616.3424
MEM 172.929688 1608255616.3589
MEM 172.929688 1608255616.3771
MEM 172.929688 1608255616.3954
MEM 172.929688 1608255616.4134
MEM 172.929688 1608255616.4313
MEM 173.445312 1608255616.4457
MEM 173.445312 1608255616.4639
MEM 173.445312 1608255616.4822
MEM 173.960938 1608255616.5000
MEM 180.449219 1608255616.5147
MEM 180.449219 1608255616.5330
MEM 180.449219 1608255616.5513
MEM 180.449219 1608255616.5692
MEM 180.449219 1608255616.5868
MEM 180.449219 1608255616.6012
MEM 180.449219 1608255616.6194
MEM 180.449219 1608255616.6372
MEM 180.449219 1608255616.6549
MEM 180.449219 1608255616.6694
MEM 180.449219 1608255616.6877
MEM 180.449219 1608255616.7055
MEM 180.449219 1608255616.7228
MEM 180.449219 1608255616.7394
MEM 180.449219 1608255616.7576
MEM 180.449219 1608255616.7784
MEM 180.449219 1608255616.7964
MEM 180.207031 1608255616.8146
MEM 0.000000 1608255616.8338
