CMDLINE python aliengo_stepping_stones.py
MEM 0.687500 1608253016.2332
MEM 7.687500 1608253016.2388
MEM 8.460938 1608253016.2436
MEM 9.574219 1608253016.2483
MEM 11.703125 1608253016.2534
MEM 15.257812 1608253016.2600
MEM 16.816406 1608253016.2665
MEM 17.707031 1608253016.2731
MEM 18.882812 1608253016.2799
MEM 19.367188 1608253016.2865
MEM 20.984375 1608253016.2933
MEM 21.792969 1608253016.2999
MEM 23.242188 1608253016.3067
MEM 26.976562 1608253016.3138
MEM 28.511719 1608253016.3205
MEM 29.476562 1608253016.3274
MEM 39.062500 1608253016.3336
MEM 60.921875 1608253016.3394
MEM 90.265625 1608253016.3452
MEM 111.410156 1608253016.3503
MEM 115.902344 1608253016.3549
MEM 119.160156 1608253016.3597
MEM 133.531250 1608253016.3643
MEM 133.800781 1608253016.3687
MEM 138.441406 1608253016.3731
MEM 138.441406 1608253016.3775
MEM 139.269531 1608253016.3819
MEM 141.132812 1608253016.3865
MEM 142.937500 1608253016.3910
MEM 145.515625 1608253016.3956
MEM 147.835938 1608253016.4002
MEM 152.218750 1608253016.4046
MEM 152.472656 1608253016.4090
MEM 152.472656 1608253016.4135
MEM 152.472656 1608253016.4180
MEM 152.472656 1608253016.4224
MEM 152.472656 1608253016.4273
MEM 153.191406 1608253016.4318
MEM 153.707031 1608253016.4364
MEM 153.707031 1608253016.4409
MEM 154.222656 1608253016.4455
MEM 154.480469 1608253016.4500
MEM 154.738281 1608253016.4546
MEM 154.996094 1608253016.4590
MEM 156.027344 1608253016.4636
MEM 156.027344 1608253016.4680
MEM 156.285156 1608253016.4724
MEM 156.542969 1608253016.4769
MEM 157.058594 1608253016.4814
MEM 157.316406 1608253016.4858
MEM 157.574219 1608253016.4902
MEM 157.832031 1608253016.4948
MEM 158.089844 1608253016.4991
MEM 158.605469 1608253016.5036
MEM 158.863281 1608253016.5081
MEM 159.121094 1608253016.5125
MEM 159.378906 1608253016.5169
MEM 161.183594 1608253016.5213
MEM 161.183594 1608253016.5256
MEM 161.183594 1608253016.5302
MEM 161.183594 1608253016.5346
MEM 161.441406 1608253016.5390
MEM 161.699219 1608253016.5436
MEM 162.214844 1608253016.5481
MEM 162.472656 1608253016.5525
MEM 162.730469 1608253016.5569
MEM 162.988281 1608253016.5614
MEM 163.503906 1608253016.5658
MEM 163.761719 1608253016.5701
MEM 164.019531 1608253016.5747
MEM 164.277344 1608253016.5791
MEM 164.792969 1608253016.5835
MEM 165.050781 1608253016.5879
MEM 165.308594 1608253016.5923
MEM 165.566406 1608253016.5966
MEM 165.824219 1608253016.6010
MEM 166.339844 1608253016.6054
MEM 166.597656 1608253016.6099
MEM 166.855469 1608253016.6143
MEM 167.113281 1608253016.6187
MEM 167.371094 1608253016.6232
MEM 167.886719 1608253016.6276
MEM 170.980469 1608253016.6320
MEM 170.980469 1608253016.6364
MEM 170.980469 1608253016.6410
MEM 170.980469 1608253016.6454
MEM 170.980469 1608253016.6499
MEM 170.980469 1608253016.6545
MEM 170.980469 1608253016.6589
MEM 171.238281 1608253016.6633
MEM 171.496094 1608253016.6677
MEM 172.011719 1608253016.6722
MEM 172.269531 1608253016.6765
MEM 172.527344 1608253016.6809
MEM 172.785156 1608253016.6853
MEM 173.042969 1608253016.6897
MEM 173.558594 1608253016.6941
MEM 173.816406 1608253016.6985
MEM 174.074219 1608253016.7029
MEM 174.332031 1608253016.7073
MEM 174.847656 1608253016.7117
MEM 175.105469 1608253016.7161
MEM 175.363281 1608253016.7207
MEM 175.621094 1608253016.7251
MEM 175.878906 1608253016.7295
MEM 176.394531 1608253016.7340
MEM 176.652344 1608253016.7384
MEM 176.910156 1608253016.7429
MEM 177.167969 1608253016.7474
MEM 177.683594 1608253016.7518
MEM 177.941406 1608253016.7561
MEM 178.199219 1608253016.7607
MEM 178.457031 1608253016.7651
MEM 178.714844 1608253016.7703
MEM 179.230469 1608253016.7751
MEM 179.488281 1608253016.7796
MEM 179.746094 1608253016.7842
MEM 180.261719 1608253016.7888
MEM 180.519531 1608253016.7933
MEM 180.777344 1608253016.7977
MEM 181.035156 1608253016.8022
MEM 181.292969 1608253016.8066
MEM 181.808594 1608253016.8111
MEM 182.066406 1608253016.8155
MEM 182.324219 1608253016.8202
