CMDLINE python aliengo_stepping_stones.py
MEM 1.585938 1608255029.9941
MEM 9.441406 1608255030.0123
MEM 17.792969 1608255030.0294
MEM 20.246094 1608255030.0463
MEM 23.359375 1608255030.0633
MEM 29.410156 1608255030.0803
MEM 53.605469 1608255030.0960
MEM 112.972656 1608255030.1152
MEM 132.285156 1608255030.1346
MEM 142.050781 1608255030.1541
MEM 153.136719 1608255030.1730
MEM 153.503906 1608255030.1919
MEM 154.800781 1608255030.2103
MEM 156.863281 1608255030.2281
MEM 157.636719 1608255030.2434
MEM 158.925781 1608255030.2618
MEM 160.214844 1608255030.2804
MEM 162.019531 1608255030.2988
MEM 163.308594 1608255030.3171
MEM 164.597656 1608255030.3354
MEM 165.886719 1608255030.3540
MEM 167.175781 1608255030.3731
MEM 168.722656 1608255030.3913
MEM 171.816406 1608255030.4088
MEM 172.074219 1608255030.4265
MEM 173.363281 1608255030.4430
MEM 174.394531 1608255030.4611
MEM 175.683594 1608255030.4793
MEM 176.972656 1608255030.4972
MEM 178.261719 1608255030.5151
MEM 179.550781 1608255030.5294
MEM 180.582031 1608255030.5476
MEM 181.871094 1608255030.5656
MEM 183.160156 1608255030.5836
MEM 184.449219 1608255030.6018
MEM 191.410156 1608255030.6200
MEM 191.410156 1608255030.6381
MEM 191.410156 1608255030.6546
MEM 191.410156 1608255030.6727
MEM 192.699219 1608255030.6910
MEM 193.988281 1608255030.7085
MEM 195.277344 1608255030.7263
MEM 196.566406 1608255030.7428
MEM 197.597656 1608255030.7610
MEM 198.886719 1608255030.7799
MEM 200.175781 1608255030.7980
MEM 201.464844 1608255030.8144
MEM 202.753906 1608255030.8325
MEM 204.042969 1608255030.8507
MEM 205.332031 1608255030.8684
MEM 206.621094 1608255030.8859
MEM 207.910156 1608255030.9024
MEM 208.941406 1608255030.9205
MEM 210.230469 1608255030.9387
MEM 211.519531 1608255030.9563
MEM 212.808594 1608255030.9706
MEM 213.839844 1608255030.9888
MEM 215.128906 1608255031.0069
MEM 216.417969 1608255031.0247
MEM 217.707031 1608255031.0421
MEM 230.855469 1608255031.0586
MEM 230.855469 1608255031.0767
MEM 230.855469 1608255031.0948
MEM 230.855469 1608255031.1123
MEM 230.855469 1608255031.1270
MEM 230.855469 1608255031.1452
MEM 230.855469 1608255031.1633
MEM 230.855469 1608255031.1810
MEM 232.144531 1608255031.1985
MEM 233.175781 1608255031.2163
MEM 234.464844 1608255031.2326
MEM 235.753906 1608255031.2508
MEM 237.042969 1608255031.2688
MEM 238.332031 1608255031.2866
MEM 239.621094 1608255031.3031
MEM 240.652344 1608255031.3212
MEM 241.941406 1608255031.3393
MEM 243.230469 1608255031.3570
MEM 244.519531 1608255031.3750
MEM 245.808594 1608255031.3895
MEM 246.839844 1608255031.4076
MEM 248.128906 1608255031.4252
MEM 249.417969 1608255031.4432
MEM 250.707031 1608255031.4576
MEM 251.738281 1608255031.4758
MEM 253.542969 1608255031.4934
MEM 254.574219 1608255031.5100
MEM 255.863281 1608255031.5282
MEM 257.152344 1608255031.5461
MEM 258.441406 1608255031.5639
MEM 260.761719 1608255031.5783
MEM 261.277344 1608255031.5966
MEM 262.566406 1608255031.6146
MEM 263.855469 1608255031.6327
MEM 265.144531 1608255031.6507
