CMDLINE python aliengo_stepping_stones.py
MEM 0.699219 1608248027.1280
MEM 59.972656 1608248027.2338
MEM 153.984375 1608248027.3421
MEM 153.984375 1608248027.4504
MEM 154.609375 1608248027.5590
MEM 154.609375 1608248027.6676
MEM 154.867188 1608248027.7773
MEM 155.125000 1608248027.8860
MEM 155.382812 1608248027.9947
MEM 155.640625 1608248028.1031
MEM 155.640625 1608248028.2113
MEM 155.898438 1608248028.3206
MEM 156.156250 1608248028.4298
MEM 156.414062 1608248028.5387
MEM 156.671875 1608248028.6481
MEM 156.929688 1608248028.7570
MEM 156.929688 1608248028.8656
MEM 157.187500 1608248028.9745
MEM 157.187500 1608248029.0826
MEM 157.445312 1608248029.1906
MEM 157.703125 1608248029.2992
MEM 157.960938 1608248029.4078
MEM 158.218750 1608248029.5163
MEM 158.476562 1608248029.6247
MEM 158.476562 1608248029.7332
MEM 158.734375 1608248029.8418
MEM 158.992188 1608248029.9503
MEM 159.250000 1608248030.0586
MEM 159.507812 1608248030.1669
MEM 159.507812 1608248030.2753
MEM 159.765625 1608248030.3836
MEM 160.023438 1608248030.4919
MEM 160.023438 1608248030.6003
MEM 160.281250 1608248030.7086
MEM 160.539062 1608248030.8172
MEM 160.796875 1608248030.9257
MEM 161.054688 1608248031.0340
MEM 161.054688 1608248031.1424
MEM 161.570312 1608248031.2503
MEM 161.828125 1608248031.3587
MEM 161.828125 1608248031.4672
MEM 162.085938 1608248031.5755
MEM 162.085938 1608248031.6839
MEM 162.343750 1608248031.7927
MEM 162.601562 1608248031.9013
MEM 162.859375 1608248032.0097
MEM 162.859375 1608248032.1182
MEM 163.117188 1608248032.2268
MEM 163.375000 1608248032.3353
MEM 163.632812 1608248032.4438
MEM 163.890625 1608248032.5524
MEM 164.148438 1608248032.6613
MEM 164.148438 1608248032.7709
MEM 164.406250 1608248032.8795
MEM 164.664062 1608248032.9878
MEM 164.664062 1608248033.0963
MEM 164.921875 1608248033.2052
MEM 165.179688 1608248033.3140
MEM 165.437500 1608248033.4230
MEM 165.437500 1608248033.5313
MEM 165.695312 1608248033.6401
MEM 165.953125 1608248033.7479
MEM 166.210938 1608248033.8557
MEM 166.468750 1608248033.9637
MEM 166.468750 1608248034.0718
MEM 166.726562 1608248034.1805
MEM 166.726562 1608248034.2891
MEM 166.984375 1608248034.3983
MEM 167.242188 1608248034.5069
MEM 167.500000 1608248034.6150
MEM 167.757812 1608248034.7235
MEM 168.015625 1608248034.8322
MEM 168.015625 1608248034.9408
MEM 168.273438 1608248035.0491
MEM 168.531250 1608248035.1579
MEM 169.046875 1608248035.2668
MEM 169.046875 1608248035.3754
MEM 169.304688 1608248035.4839
MEM 169.562500 1608248035.5924
MEM 169.562500 1608248035.7007
MEM 169.820312 1608248035.8094
MEM 169.820312 1608248035.9172
MEM 170.078125 1608248036.0264
MEM 170.335938 1608248036.1358
MEM 170.593750 1608248036.2444
MEM 170.851562 1608248036.3528
MEM 171.109375 1608248036.4615
MEM 171.109375 1608248036.5669
MEM 171.367188 1608248036.6748
MEM 171.625000 1608248036.7835
MEM 171.882812 1608248036.8927
MEM 171.882812 1608248037.0014
MEM 172.140625 1608248037.1098
MEM 172.398438 1608248037.2186
MEM 172.656250 1608248037.3280
MEM 172.656250 1608248037.4363
MEM 172.914062 1608248037.5454
MEM 173.171875 1608248037.6540
MEM 173.429688 1608248037.7637
MEM 173.687500 1608248037.8723
MEM 173.687500 1608248037.9807
MEM 173.945312 1608248038.0889
MEM 174.203125 1608248038.1974
MEM 174.460938 1608248038.3059
MEM 174.460938 1608248038.4142
MEM 174.718750 1608248038.5229
MEM 174.976562 1608248038.6312
MEM 174.976562 1608248038.7394
MEM 175.234375 1608248038.8477
MEM 175.492188 1608248038.9560
MEM 175.750000 1608248039.0641
