CMDLINE python aliengo_stepping_stones.py
MEM 1.460938 1608254689.8553
MEM 9.406250 1608254689.8736
MEM 17.625000 1608254689.8905
MEM 19.675781 1608254689.9074
MEM 22.937500 1608254689.9243
MEM 28.929688 1608254689.9413
MEM 53.484375 1608254689.9587
MEM 112.917969 1608254689.9789
MEM 139.246094 1608254689.9992
MEM 144.000000 1608254690.0186
MEM 153.328125 1608254690.0380
MEM 153.753906 1608254690.0562
MEM 155.042969 1608254690.0745
MEM 156.847656 1608254690.0926
MEM 157.878906 1608254690.1118
MEM 159.425781 1608254690.1302
MEM 162.003906 1608254690.1469
MEM 162.261719 1608254690.1650
MEM 163.550781 1608254690.1831
MEM 164.839844 1608254690.2010
MEM 166.128906 1608254690.2187
MEM 167.417969 1608254690.2351
MEM 168.707031 1608254690.2533
MEM 171.800781 1608254690.2714
MEM 172.058594 1608254690.2903
MEM 173.347656 1608254690.3085
MEM 174.636719 1608254690.3267
MEM 175.925781 1608254690.3442
MEM 177.214844 1608254690.3620
MEM 178.503906 1608254690.3784
MEM 179.535156 1608254690.3966
MEM 180.824219 1608254690.4147
MEM 182.113281 1608254690.4327
MEM 183.402344 1608254690.4512
MEM 184.691406 1608254690.4693
MEM 191.394531 1608254690.4875
MEM 191.394531 1608254690.5055
MEM 191.394531 1608254690.5234
MEM 191.652344 1608254690.5378
MEM 192.683594 1608254690.5558
MEM 193.972656 1608254690.5737
MEM 195.261719 1608254690.5914
MEM 196.550781 1608254690.6059
MEM 197.582031 1608254690.6251
MEM 198.871094 1608254690.6437
MEM 200.160156 1608254690.6620
MEM 201.449219 1608254690.6799
MEM 202.738281 1608254690.6943
MEM 203.769531 1608254690.7121
MEM 205.058594 1608254690.7285
MEM 206.089844 1608254690.7467
MEM 207.378906 1608254690.7644
MEM 208.667969 1608254690.7800
MEM 209.699219 1608254690.7972
MEM 210.988281 1608254690.8139
MEM 212.277344 1608254690.8318
MEM 213.566406 1608254690.8462
MEM 214.597656 1608254690.8644
MEM 215.628906 1608254690.8824
MEM 216.917969 1608254690.8988
MEM 218.207031 1608254690.9169
MEM 230.839844 1608254690.9351
MEM 230.839844 1608254690.9527
MEM 230.839844 1608254690.9720
MEM 230.839844 1608254690.9903
MEM 230.839844 1608254691.0075
MEM 230.839844 1608254691.0248
MEM 230.839844 1608254691.0431
MEM 232.128906 1608254691.0604
MEM 233.160156 1608254691.0779
MEM 234.449219 1608254691.0944
MEM 235.738281 1608254691.1125
MEM 237.027344 1608254691.1313
MEM 238.316406 1608254691.1503
MEM 239.605469 1608254691.1685
MEM 240.894531 1608254691.1866
MEM 242.183594 1608254691.2032
MEM 243.472656 1608254691.2213
MEM 244.761719 1608254691.2394
MEM 246.050781 1608254691.2569
MEM 247.082031 1608254691.2750
MEM 248.371094 1608254691.2928
MEM 249.660156 1608254691.3117
MEM 250.949219 1608254691.3295
MEM 252.496094 1608254691.3460
MEM 253.785156 1608254691.3625
MEM 254.816406 1608254691.3807
MEM 256.363281 1608254691.3987
MEM 257.652344 1608254691.4162
MEM 258.941406 1608254691.4307
MEM 260.746094 1608254691.4488
MEM 261.519531 1608254691.4678
MEM 263.066406 1608254691.4867
MEM 264.355469 1608254691.5048
MEM 265.386719 1608254691.5231
MEM 266.675781 1608254691.5407
MEM 270.800781 1608254691.5588
MEM 270.800781 1608254691.5769
MEM 271.574219 1608254691.5948
MEM 272.605469 1608254691.6090
MEM 273.636719 1608254691.6272
MEM 274.925781 1608254691.6460
MEM 276.214844 1608254691.6644
MEM 277.503906 1608254691.6826
MEM 278.792969 1608254691.7004
MEM 280.082031 1608254691.7176
MEM 281.371094 1608254691.7341
MEM 282.402344 1608254691.7506
MEM 283.691406 1608254691.7692
MEM 290.394531 1608254691.7891
MEM 290.394531 1608254691.8074
MEM 290.394531 1608254691.8267
MEM 290.652344 1608254691.8463
MEM 292.199219 1608254691.8652
MEM 293.488281 1608254691.8833
MEM 294.777344 1608254691.9012
MEM 295.808594 1608254691.9190
MEM 297.097656 1608254691.9333
MEM 298.128906 1608254691.9514
MEM 299.417969 1608254691.9694
MEM 300.707031 1608254691.9883
MEM 301.996094 1608254692.0068
MEM 303.285156 1608254692.0256
MEM 304.574219 1608254692.0440
MEM 305.863281 1608254692.0622
MEM 307.152344 1608254692.0786
MEM 308.183594 1608254692.0967
MEM 309.472656 1608254692.1148
MEM 310.761719 1608254692.1326
MEM 312.050781 1608254692.1514
MEM 313.339844 1608254692.1698
MEM 314.628906 1608254692.1879
MEM 315.660156 1608254692.2059
MEM 316.949219 1608254692.2236
MEM 329.839844 1608254692.2379
MEM 329.839844 1608254692.2560
MEM 329.839844 1608254692.2739
MEM 329.839844 1608254692.2903
MEM 329.839844 1608254692.3084
MEM 329.839844 1608254692.3273
MEM 329.839844 1608254692.3454
MEM 330.613281 1608254692.3638
MEM 331.644531 1608254692.3815
MEM 333.011719 1608254692.3995
MEM 334.042969 1608254692.4139
MEM 335.074219 1608254692.4319
MEM 336.363281 1608254692.4495
MEM 337.652344 1608254692.4678
MEM 338.941406 1608254692.4859
MEM 340.230469 1608254692.5046
MEM 341.519531 1608254692.5229
MEM 342.808594 1608254692.5404
MEM 343.839844 1608254692.5580
MEM 345.128906 1608254692.5746
MEM 346.160156 1608254692.5927
MEM 347.449219 1608254692.6109
MEM 348.738281 1608254692.6288
MEM 350.027344 1608254692.6467
MEM 347.285156 1608254692.6662
MEM 347.285156 1608254692.6852
MEM 347.285156 1608254692.7033
MEM 339.972656 1608254692.7214
MEM 339.972656 1608254692.7397
MEM 339.972656 1608254692.7574
MEM 339.972656 1608254692.7772
MEM 339.972656 1608254692.7955
MEM 339.972656 1608254692.8128
MEM 339.972656 1608254692.8316
MEM 339.972656 1608254692.8499
MEM 339.972656 1608254692.8681
MEM 339.972656 1608254692.8861
MEM 339.972656 1608254692.9026
MEM 339.972656 1608254692.9207
MEM 339.972656 1608254692.9388
MEM 339.972656 1608254692.9568
MEM 339.972656 1608254692.9742
