CMDLINE python aliengo_stepping_stones.py
MEM 0.730469 1608253758.6578
MEM 9.398438 1608253758.6779
MEM 17.648438 1608253758.6950
MEM 20.125000 1608253758.7118
MEM 23.652344 1608253758.7287
MEM 29.156250 1608253758.7457
MEM 57.593750 1608253758.7630
MEM 116.113281 1608253758.7821
MEM 139.320312 1608253758.8003
MEM 142.011719 1608253758.8186
MEM 153.097656 1608253758.8378
MEM 143.175781 1608253758.8565
MEM 143.175781 1608253758.8749
MEM 143.175781 1608253758.8926
MEM 143.175781 1608253758.9107
MEM 143.175781 1608253758.9289
MEM 143.175781 1608253758.9472
MEM 143.175781 1608253758.9648
MEM 143.175781 1608253758.9828
MEM 143.175781 1608253758.9973
MEM 143.175781 1608253759.0154
MEM 143.175781 1608253759.0332
MEM 143.175781 1608253759.0508
MEM 143.175781 1608253759.0657
MEM 143.175781 1608253759.0839
MEM 144.375000 1608253759.1019
MEM 145.664062 1608253759.1192
MEM 146.953125 1608253759.1374
MEM 148.242188 1608253759.1560
MEM 149.531250 1608253759.1748
MEM 150.820312 1608253759.1927
MEM 152.109375 1608253759.2102
MEM 153.398438 1608253759.2268
MEM 154.687500 1608253759.2449
MEM 155.976562 1608253759.2635
MEM 162.937500 1608253759.2818
MEM 162.937500 1608253759.3000
MEM 162.937500 1608253759.3179
MEM 163.195312 1608253759.3344
MEM 164.226562 1608253759.3526
MEM 165.515625 1608253759.3708
MEM 166.804688 1608253759.3891
MEM 168.093750 1608253759.4074
MEM 169.382812 1608253759.4253
MEM 170.671875 1608253759.4432
MEM 171.960938 1608253759.4577
MEM 172.992188 1608253759.4758
MEM 174.539062 1608253759.4939
MEM 175.828125 1608253759.5107
MEM 176.859375 1608253759.5290
MEM 178.148438 1608253759.5473
MEM 179.437500 1608253759.5653
MEM 180.726562 1608253759.5835
MEM 182.015625 1608253759.6012
MEM 183.304688 1608253759.6198
MEM 184.593750 1608253759.6376
MEM 185.882812 1608253759.6541
MEM 187.171875 1608253759.6726
MEM 188.460938 1608253759.6909
MEM 189.750000 1608253759.7088
MEM 202.382812 1608253759.7265
MEM 202.382812 1608253759.7430
MEM 202.382812 1608253759.7614
MEM 202.382812 1608253759.7805
MEM 202.382812 1608253759.7986
MEM 202.382812 1608253759.8165
MEM 202.382812 1608253759.8308
MEM 203.414062 1608253759.8489
MEM 204.703125 1608253759.8672
MEM 205.992188 1608253759.8850
MEM 207.281250 1608253759.9032
MEM 208.570312 1608253759.9211
MEM 209.859375 1608253759.9391
MEM 211.148438 1608253759.9536
MEM 212.179688 1608253759.9717
MEM 213.468750 1608253759.9898
MEM 214.757812 1608253760.0077
MEM 216.046875 1608253760.0221
MEM 217.078125 1608253760.0404
MEM 218.367188 1608253760.0589
MEM 219.656250 1608253760.0768
MEM 220.945312 1608253760.0950
MEM 222.234375 1608253760.1131
MEM 223.781250 1608253760.1312
MEM 225.070312 1608253760.1493
MEM 226.359375 1608253760.1675
MEM 227.906250 1608253760.1852
MEM 229.195312 1608253760.2035
MEM 230.484375 1608253760.2212
MEM 232.289062 1608253760.2395
MEM 233.578125 1608253760.2574
MEM 234.867188 1608253760.2755
MEM 236.156250 1608253760.2937
MEM 237.445312 1608253760.3119
MEM 238.734375 1608253760.3294
MEM 242.343750 1608253760.3459
MEM 242.343750 1608253760.3641
MEM 243.375000 1608253760.3817
MEM 244.664062 1608253760.3982
MEM 245.695312 1608253760.4165
MEM 246.984375 1608253760.4347
MEM 248.273438 1608253760.4527
MEM 249.562500 1608253760.4716
MEM 251.109375 1608253760.4895
MEM 252.398438 1608253760.5077
MEM 253.429688 1608253760.5262
MEM 254.976562 1608253760.5446
MEM 261.937500 1608253760.5630
MEM 261.937500 1608253760.5817
MEM 261.937500 1608253760.6001
MEM 261.937500 1608253760.6187
MEM 263.226562 1608253760.6363
MEM 264.515625 1608253760.6510
MEM 265.546875 1608253760.6693
MEM 266.835938 1608253760.6875
MEM 268.125000 1608253760.7051
MEM 269.414062 1608253760.7234
MEM 270.703125 1608253760.7409
MEM 271.992188 1608253760.7585
MEM 273.023438 1608253760.7759
MEM 274.312500 1608253760.7926
MEM 275.601562 1608253760.8091
MEM 276.632812 1608253760.8255
MEM 277.921875 1608253760.8438
MEM 279.210938 1608253760.8617
MEM 280.500000 1608253760.8791
MEM 281.531250 1608253760.8936
MEM 282.562500 1608253760.9118
MEM 283.851562 1608253760.9294
MEM 285.140625 1608253760.9459
MEM 286.429688 1608253760.9641
MEM 287.718750 1608253760.9823
MEM 294.164062 1608253761.0001
MEM 301.382812 1608253761.0151
MEM 301.382812 1608253761.0336
MEM 301.382812 1608253761.0518
MEM 301.640625 1608253761.0699
MEM 301.640625 1608253761.0864
MEM 301.640625 1608253761.1045
MEM 301.640625 1608253761.1225
MEM 302.156250 1608253761.1404
MEM 303.445312 1608253761.1577
MEM 304.734375 1608253761.1745
MEM 305.902344 1608253761.1930
MEM 307.191406 1608253761.2112
MEM 308.480469 1608253761.2294
MEM 309.511719 1608253761.2476
MEM 310.800781 1608253761.2654
MEM 312.089844 1608253761.2837
MEM 313.378906 1608253761.3014
MEM 314.667969 1608253761.3179
MEM 315.957031 1608253761.3361
MEM 317.246094 1608253761.3541
MEM 318.277344 1608253761.3721
MEM 319.566406 1608253761.3901
MEM 320.855469 1608253761.4077
MEM 321.628906 1608253761.4245
MEM 321.628906 1608253761.4427
MEM 321.628906 1608253761.4611
MEM 321.628906 1608253761.4793
MEM 321.628906 1608253761.4971
MEM 321.628906 1608253761.5147
MEM 329.031250 1608253761.5313
MEM 329.031250 1608253761.5494
MEM 329.031250 1608253761.5679
MEM 329.031250 1608253761.5860
MEM 329.031250 1608253761.6025
MEM 329.031250 1608253761.6207
MEM 329.031250 1608253761.6389
MEM 329.031250 1608253761.6570
MEM 329.031250 1608253761.6750
MEM 329.031250 1608253761.6931
MEM 329.031250 1608253761.7114
MEM 329.031250 1608253761.7291
MEM 329.031250 1608253761.7477
MEM 329.031250 1608253761.7662
MEM 329.031250 1608253761.7844
MEM 329.031250 1608253761.8023
MEM 329.031250 1608253761.8188
MEM 329.031250 1608253761.8369
MEM 329.031250 1608253761.8534
MEM 329.031250 1608253761.8699
MEM 329.031250 1608253761.8882
MEM 329.031250 1608253761.9062
MEM 329.031250 1608253761.9245
MEM 329.031250 1608253761.9427
MEM 329.031250 1608253761.9610
MEM 329.031250 1608253761.9792
MEM 329.031250 1608253761.9974
MEM 329.031250 1608253762.0156
MEM 329.031250 1608253762.0338
MEM 329.031250 1608253762.0520
MEM 329.031250 1608253762.0700
MEM 329.031250 1608253762.0865
MEM 329.031250 1608253762.1046
MEM 329.031250 1608253762.1228
MEM 329.031250 1608253762.1408
MEM 329.031250 1608253762.1587
MEM 329.031250 1608253762.1731
MEM 329.031250 1608253762.1913
MEM 329.031250 1608253762.2088
MEM 329.031250 1608253762.2267
MEM 329.031250 1608253762.2411
MEM 329.031250 1608253762.2594
MEM 329.031250 1608253762.2772
MEM 329.031250 1608253762.2952
MEM 329.031250 1608253762.3133
MEM 329.031250 1608253762.3317
MEM 329.031250 1608253762.3493
MEM 329.031250 1608253762.3658
MEM 329.031250 1608253762.3823
MEM 329.031250 1608253762.4004
MEM 329.031250 1608253762.4147
MEM 329.031250 1608253762.4328
MEM 329.031250 1608253762.4511
MEM 329.031250 1608253762.4687
MEM 329.031250 1608253762.4863
MEM 329.031250 1608253762.5028
MEM 329.031250 1608253762.5212
MEM 329.031250 1608253762.5394
MEM 329.031250 1608253762.5573
MEM 329.031250 1608253762.5751
MEM 329.031250 1608253762.5895
MEM 329.031250 1608253762.6076
MEM 329.031250 1608253762.6256
MEM 329.031250 1608253762.6433
MEM 329.031250 1608253762.6576
MEM 329.031250 1608253762.6759
MEM 329.031250 1608253762.6940
MEM 329.031250 1608253762.7105
MEM 329.031250 1608253762.7286
MEM 329.031250 1608253762.7470
MEM 329.031250 1608253762.7649
MEM 329.031250 1608253762.7837
MEM 329.031250 1608253762.8017
MEM 329.031250 1608253762.8182
MEM 329.031250 1608253762.8365
MEM 329.031250 1608253762.8546
MEM 329.031250 1608253762.8722
MEM 329.031250 1608253762.8868
MEM 329.031250 1608253762.9051
MEM 329.031250 1608253762.9232
MEM 329.031250 1608253762.9411
MEM 329.031250 1608253762.9590
MEM 329.031250 1608253762.9733
MEM 329.031250 1608253762.9915
MEM 329.031250 1608253763.0096
MEM 329.031250 1608253763.0279
MEM 329.031250 1608253763.0461
MEM 329.031250 1608253763.0639
MEM 329.031250 1608253763.0786
